Fecha,Vendedor,Sede,Rubro,Marca,Importe,Comision_x_venta,Fecha_Venta,Satisfaccion_Cliente,Prioridad_Pedido,Fecha_Venta_Respaldo
03/06/2022,Christel Zambonini,San Nicolás,Electrodomésticos,Corsair,389943.0,23160,,3,3,18-05-2026
27/05/2022,Pennie Hess,Ezeiza,Pc Armada,Netgear,191014.0,16586,2026-05-10,5,1,2026/05/10
09/03/2022,Ursuline Castilla,San Nicolás,Pc Armada,Conceptronic,347694.0,19038,,3,2,12-05-2026
12/01/2022,Christel Zambonini,Ezpeleta,Equipos De Video,Samsonite,131334.0,24481,2026-05-15,4,3,2026/05/15
20/05/2022,Timmy Ashlin,San Martín,Electrodomésticos,Netgear,456792.0,16928,,5,1,18-05-2026
09/01/2022,Juliet Glynne,Recoleta,Equipos De Video,Samsung,230299.0,20549,2026-05-10,5,2,2026/05/10
16/05/2022,Constantine Creeber,Villa Bosch,Electrodomésticos,Engel,398517.0,22402,,4,3,12-05-2026
12/05/2022,Dorotea Brandolini,San Martín,Electrodomésticos,Trust,218943.0,17353,2026-05-15,2,1,2026/05/15
19/06/2022,Arvin Bernhardi,Villa Crespo,Equipos De Audio,Startech,291202.0,22044,,2,2,18-05-2026
17/04/2022,Constantine Creeber,Floresta,Notebook,Belkin,421476.0,21783,2026-05-10,5,3,2026/05/10
08/06/2022,Constantine Creeber,Chacarita,Equipos De Video,Trust,282086.0,19469,,5,1,12-05-2026
14/05/2022,Humfried Woodberry,Ezeiza,Equipos De Video,Trust,122223.0,19048,2026-05-15,1,2,2026/05/15
04/06/2022,Humfried Woodberry,San Martín,Electrodomésticos,Kensington,190782.0,19106,,3,3,18-05-2026
14/04/2022,Em Edmonson,Ezpeleta,Electrodomésticos,LG,402211.0,19523,2026-05-10,2,1,2026/05/10
19/03/2022,Em Edmonson,Avellaneda,Electrodomésticos,Xiaomi,342281.0,22409,,5,2,12-05-2026
24/03/2022,Humfried Woodberry,Ezpeleta,Notebook,Wacom,407731.0,24685,2026-05-15,5,3,2026/05/15
07/01/2022,Constantine Creeber,San Martín,Tv,Conceptronic,408492.0,22607,,2,1,18-05-2026
02/01/2022,Constantine Creeber,Paternal,Pc Armada,Startech,158190.0,23341,2026-05-10,2,2,2026/05/10
22/05/2022,Cecil Apted,Palermo,Equipos De Video,LG,103230.0,18108,,3,3,12-05-2026
04/05/2022,Juliet Glynne,San Nicolás,Notebook,Samsung,134011.0,21476,2026-05-15,5,1,2026/05/15
07/01/2022,Ursuline Castilla,Boedo,Tv,Samsonite,382788.0,18869,,2,2,18-05-2026
31/01/2022,Pennie Hess,Floresta,Pc Armada,Samsung,110603.0,21201,2026-05-10,3,3,2026/05/10
30/04/2022,Em Edmonson,Chacarita,Tv,Conceptronic,306870.0,17925,,4,1,12-05-2026
20/05/2022,Dallis Beefon,Palermo,Equipos De Audio,Huawei,284911.0,20543,2026-05-15,1,2,2026/05/15
04/06/2022,Arvin Bernhardi,Avellaneda,Equipos De Video,Access,342078.0,21565,,4,3,18-05-2026
13/03/2022,Juliet Glynne,Paternal,Equipos De Audio,Corsair,454207.0,24118,2026-05-10,1,1,2026/05/10
07/04/2022,Ursuline Castilla,Avellaneda,Electrodomésticos,Vodafone,251916.0,22146,,5,2,12-05-2026
03/01/2022,Arvin Bernhardi,Palermo,Pc Armada,Engel,342086.0,17087,2026-05-15,2,3,2026/05/15
17/03/2022,Pennie Hess,Villa Crespo,Electrodomésticos,Samsonite,122596.0,18454,,1,1,18-05-2026
05/01/2022,Juliet Glynne,San Nicolás,Notebook,Ubiquity,171551.0,17880,2026-05-10,3,2,2026/05/10
30/04/2022,Humfried Woodberry,San Nicolás,Electrodomésticos,Samsonite,356111.0,24496,,1,3,12-05-2026
01/04/2022,Arvin Bernhardi,Ezeiza,Electrodomésticos,Xiaomi,358536.0,19742,2026-05-15,3,1,2026/05/15
26/02/2022,Dorotea Brandolini,Flores,Equipos De Audio,Wacom,371650.0,23015,,1,2,18-05-2026
01/03/2022,Barde Benoist,Chacarita,Tv,Conceptronic,379486.0,17518,2026-05-10,3,3,2026/05/10
31/03/2022,Mufi Panchin,Palermo,Equipos De Video,Xiaomi,409249.0,22388,,4,1,12-05-2026
25/04/2022,Dorotea Brandolini,Villa Bosch,Tv,Kensington,191134.0,19735,2026-05-15,2,2,2026/05/15
23/06/2022,Constantine Creeber,Villa Bosch,Electrodomésticos,LG,127163.0,25461,,2,3,18-05-2026
26/06/2022,Angelita Lambkin,Avellaneda,Tv,Samsung,191918.0,20931,2026-05-10,5,1,2026/05/10
23/06/2022,Dallis Beefon,Palermo,Tv,Corsair,179382.0,21507,,4,2,12-05-2026
11/06/2022,Arvin Bernhardi,Avellaneda,Electrodomésticos,Huawei,338227.0,23294,2026-05-15,2,3,2026/05/15
02/06/2022,Timmy Ashlin,Villa Bosch,Notebook,Engel,407107.0,17339,,4,1,18-05-2026
24/05/2022,Juliet Glynne,Palermo,Equipos De Audio,LG,102925.0,17838,2026-05-10,4,2,2026/05/10
07/06/2022,Angelita Lambkin,Avellaneda,Notebook,Digitus,348242.0,22654,,2,3,12-05-2026
20/06/2022,Timmy Ashlin,Chacarita,Equipos De Audio,Engel,132719.0,24930,2026-05-15,3,1,2026/05/15
25/04/2022,Dallis Beefon,San Martín,Pc Armada,Wacom,397691.0,18491,,1,2,18-05-2026
30/04/2022,Barde Benoist,Avellaneda,Pc Armada,Nord,221872.0,23079,2026-05-10,5,3,2026/05/10
31/05/2022,Mufi Panchin,Recoleta,Notebook,Belkin,428778.0,19145,,4,1,12-05-2026
25/05/2022,Humfried Woodberry,Ezeiza,Equipos De Audio,Access,456984.0,22913,2026-05-15,2,2,2026/05/15
07/02/2022,Barde Benoist,San Martín,Electrodomésticos,Netgear,160845.0,17618,,2,3,18-05-2026
19/06/2022,Em Edmonson,Ezpeleta,Notebook,Ubiquity,343887.0,23304,2026-05-10,4,1,2026/05/10
22/04/2022,Juliet Glynne,Villa Soldati,Equipos De Audio,Samsonite,299459.0,17954,,2,2,12-05-2026
14/02/2022,Barde Benoist,Villa Soldati,Pc Armada,Kensington,310928.0,17734,2026-05-15,1,3,2026/05/15
17/01/2022,Arvin Bernhardi,San Nicolás,Equipos De Audio,Digitus,163434.0,21101,,5,1,18-05-2026
08/03/2022,Angelita Lambkin,Boedo,Electrodomésticos,Toshiba,454083.0,21393,2026-05-10,4,2,2026/05/10
13/01/2022,Juliet Glynne,San Nicolás,Equipos De Audio,Startech,268852.0,22245,,1,3,12-05-2026
18/04/2022,Timmy Ashlin,Villa Soldati,Pc Armada,Conceptronic,168190.0,24680,2026-05-15,2,1,2026/05/15
26/06/2022,Em Edmonson,Ezeiza,Equipos De Audio,Corsair,346169.0,18060,,4,2,18-05-2026
11/02/2022,Christel Zambonini,Floresta,Notebook,Engel,282532.0,21905,2026-05-10,4,3,2026/05/10
14/06/2022,Dorotea Brandolini,Avellaneda,Equipos De Video,Corsair,382297.0,22925,,4,1,12-05-2026
01/06/2022,Dorotea Brandolini,Recoleta,Pc Armada,Ubiquity,422995.0,21483,2026-05-15,3,2,2026/05/15
13/02/2022,Dallis Beefon,Boedo,Equipos De Video,Conceptronic,297247.0,17559,,3,3,18-05-2026
02/02/2022,Dallis Beefon,Chacarita,Tv,Startech,121971.0,23122,2026-05-10,3,1,2026/05/10
07/05/2022,Mufi Panchin,Boedo,Equipos De Audio,Wacom,412488.0,20422,,2,2,12-05-2026
25/04/2022,Barde Benoist,Villa Crespo,Electrodomésticos,Ubiquity,168398.0,21850,2026-05-15,2,3,2026/05/15
03/01/2022,Arvin Bernhardi,Ezpeleta,Equipos De Video,Trust,441349.0,17774,,4,1,18-05-2026
17/06/2022,Constantine Creeber,Avellaneda,Tv,Digitus,173999.0,16842,2026-05-10,3,2,2026/05/10
11/03/2022,Arvin Bernhardi,Floresta,Equipos De Audio,Trust,449101.0,19223,,5,3,12-05-2026
30/04/2022,Mufi Panchin,Paternal,Equipos De Audio,Digitus,162204.0,21732,2026-05-15,1,1,2026/05/15
28/04/2022,Christel Zambonini,Avellaneda,Equipos De Video,Trust,180891.0,16730,,4,2,18-05-2026
17/05/2022,Timmy Ashlin,Paternal,Pc Armada,Toshiba,275685.0,20609,2026-05-10,5,3,2026/05/10
29/04/2022,Constantine Creeber,Paternal,Pc Armada,Xiaomi,196929.0,23185,,2,1,12-05-2026
29/05/2022,Dorotea Brandolini,Paternal,Notebook,Xiaomi,266982.0,21307,2026-05-15,3,2,2026/05/15
15/02/2022,Constantine Creeber,Paternal,Tv,Netgear,423634.0,23886,,2,3,18-05-2026
12/01/2022,Arvin Bernhardi,Villa Soldati,Equipos De Audio,Engel,405733.0,20817,2026-05-10,5,1,2026/05/10
16/01/2022,Ursuline Castilla,Villa Crespo,Equipos De Video,Millenium,154641.0,20191,,3,2,12-05-2026
13/06/2022,Dallis Beefon,Boedo,Tv,Belkin,190235.0,22096,2026-05-15,2,3,2026/05/15
16/02/2022,Juliet Glynne,Ezpeleta,Notebook,Samsonite,200836.0,19056,,1,1,18-05-2026
08/01/2022,Arvin Bernhardi,San Nicolás,Equipos De Audio,Huawei,436478.0,24613,2026-05-10,2,2,2026/05/10
14/04/2022,Angelita Lambkin,San Martín,Electrodomésticos,Startech,222467.0,21461,,2,3,12-05-2026
13/06/2022,Em Edmonson,San Martín,Equipos De Video,Samsonite,101603.0,24203,2026-05-15,2,1,2026/05/15
12/04/2022,Timmy Ashlin,Ezeiza,Tv,Samsonite,113816.0,19650,,1,2,18-05-2026
12/05/2022,Mufi Panchin,Avellaneda,Electrodomésticos,Xiaomi,341082.0,17605,2026-05-10,2,3,2026/05/10
09/05/2022,Pennie Hess,Recoleta,Notebook,Toshiba,291808.0,17059,,2,1,12-05-2026
21/02/2022,Timmy Ashlin,Villa Crespo,Pc Armada,Kensington,363534.0,18621,2026-05-15,3,2,2026/05/15
23/05/2022,Christel Zambonini,Chacarita,Tv,Huawei,309398.0,18283,,1,3,18-05-2026
21/01/2022,Constantine Creeber,Palermo,Equipos De Video,Xiaomi,145298.0,19986,2026-05-10,5,1,2026/05/10
15/04/2022,Ursuline Castilla,Boedo,Notebook,Conceptronic,150341.0,20089,,2,2,12-05-2026
22/04/2022,Dallis Beefon,Ezeiza,Equipos De Video,Toshiba,175718.0,18173,2026-05-15,4,3,2026/05/15
04/03/2022,Angelita Lambkin,Chacarita,Equipos De Video,Startech,182749.0,18787,,2,1,18-05-2026
19/02/2022,Barde Benoist,Ezpeleta,Equipos De Video,Conceptronic,412934.0,16817,2026-05-10,3,2,2026/05/10
13/05/2022,Ursuline Castilla,Boedo,Tv,Belkin,397500.0,24366,,1,3,12-05-2026
17/01/2022,Juliet Glynne,San Martín,Electrodomésticos,Samsonite,432956.0,21750,2026-05-15,3,1,2026/05/15
17/01/2022,Christel Zambonini,Paternal,Equipos De Audio,Conceptronic,196933.0,20819,,1,2,18-05-2026
14/06/2022,Ursuline Castilla,Villa Soldati,Equipos De Audio,Huawei,355170.0,18295,2026-05-10,1,3,2026/05/10
23/04/2022,Humfried Woodberry,Palermo,Tv,Kensington,350958.0,21820,,5,1,12-05-2026
16/01/2022,Cecil Apted,Flores,Notebook,Synology,323093.0,24838,2026-05-15,3,2,2026/05/15
22/05/2022,Constantine Creeber,Ezpeleta,Notebook,Engel,335355.0,24650,,4,3,18-05-2026
05/05/2022,Mufi Panchin,Flores,Tv,Belkin,173532.0,17566,2026-05-10,4,1,2026/05/10
08/05/2022,Juliet Glynne,Recoleta,Tv,Samsonite,285827.0,20286,,4,2,12-05-2026
13/05/2022,Cecil Apted,Flores,Notebook,Conceptronic,101846.0,23621,2026-05-15,1,3,2026/05/15
28/06/2022,Constantine Creeber,Boedo,Pc Armada,Trust,101060.0,17473,,1,1,18-05-2026
29/04/2022,Juliet Glynne,Palermo,Tv,Ubiquity,320504.0,20684,2026-05-10,1,2,2026/05/10
06/06/2022,Barde Benoist,San Martín,Notebook,Xiaomi,412415.0,17213,,4,3,12-05-2026
14/06/2022,Timmy Ashlin,Ezeiza,Notebook,Samsonite,246705.0,24515,2026-05-15,1,1,2026/05/15
18/03/2022,Dorotea Brandolini,Villa Crespo,Notebook,Xiaomi,165589.0,19241,,1,2,18-05-2026
30/05/2022,Dallis Beefon,Paternal,Pc Armada,Xiaomi,386682.0,16774,2026-05-10,4,3,2026/05/10
22/01/2022,Barde Benoist,Flores,Tv,Huawei,163756.0,22911,,1,1,12-05-2026
20/05/2022,Humfried Woodberry,Villa Crespo,Equipos De Audio,Nord,333025.0,23827,2026-05-15,3,2,2026/05/15
27/02/2022,Mufi Panchin,Villa Crespo,Pc Armada,Xiaomi,127575.0,18065,,2,3,18-05-2026
22/06/2022,Constantine Creeber,Villa Soldati,Equipos De Video,Belkin,282138.0,16651,2026-05-10,4,1,2026/05/10
08/02/2022,Humfried Woodberry,Floresta,Equipos De Video,Digitus,185420.0,17299,,4,2,12-05-2026
08/04/2022,Pennie Hess,Boedo,Notebook,Huawei,308725.0,17757,2026-05-15,3,3,2026/05/15
01/02/2022,Juliet Glynne,Boedo,Tv,Nord,336451.0,23060,,5,1,18-05-2026
26/06/2022,Barde Benoist,Villa Soldati,Equipos De Audio,Huawei,341173.0,20733,2026-05-10,1,2,2026/05/10
03/05/2022,Ursuline Castilla,San Nicolás,Tv,Engel,277699.0,20318,,5,3,12-05-2026
11/04/2022,Juliet Glynne,Villa Soldati,Equipos De Audio,Millenium,166213.0,22510,2026-05-15,2,1,2026/05/15
30/01/2022,Angelita Lambkin,Palermo,Pc Armada,Nord,292827.0,19112,,3,2,18-05-2026
27/01/2022,Em Edmonson,Ezeiza,Notebook,Millenium,279883.0,21717,2026-05-10,2,3,2026/05/10
17/01/2022,Cecil Apted,Chacarita,Equipos De Video,Corsair,406709.0,22873,,3,1,12-05-2026
09/01/2022,Timmy Ashlin,Ezeiza,Tv,Corsair,209369.0,18132,2026-05-15,1,2,2026/05/15
09/01/2022,Christel Zambonini,Paternal,Tv,Conceptronic,263812.0,24517,,2,3,18-05-2026
03/02/2022,Humfried Woodberry,Villa Crespo,Notebook,LG,346635.0,18307,2026-05-10,4,1,2026/05/10
18/06/2022,Dorotea Brandolini,Villa Crespo,Tv,Ubiquity,152519.0,19664,,3,2,12-05-2026
25/06/2022,Barde Benoist,Villa Soldati,Tv,Kensington,434483.0,24435,2026-05-15,5,3,2026/05/15
05/01/2022,Christel Zambonini,Villa Soldati,Notebook,Startech,320329.0,17712,,5,1,18-05-2026
26/06/2022,Arvin Bernhardi,Recoleta,Pc Armada,Nord,126240.0,19316,2026-05-10,1,2,2026/05/10
18/03/2022,Cecil Apted,Ezpeleta,Pc Armada,Trust,194245.0,21829,,2,3,12-05-2026
13/06/2022,Dallis Beefon,Ezeiza,Equipos De Video,Startech,370656.0,21542,2026-05-15,3,1,2026/05/15
16/04/2022,Humfried Woodberry,Flores,Pc Armada,Startech,423604.0,25455,,4,2,18-05-2026
30/05/2022,Juliet Glynne,Flores,Notebook,LG,114418.0,19751,2026-05-10,5,3,2026/05/10
13/02/2022,Dorotea Brandolini,Boedo,Notebook,Conceptronic,257964.0,25016,,4,1,12-05-2026
01/05/2022,Angelita Lambkin,Avellaneda,Equipos De Video,Wacom,183177.0,17066,2026-05-15,3,2,2026/05/15
25/02/2022,Pennie Hess,Avellaneda,Pc Armada,Xiaomi,117714.0,17295,,1,3,18-05-2026
01/05/2022,Em Edmonson,Paternal,Notebook,Access,390871.0,17542,2026-05-10,3,1,2026/05/10
22/04/2022,Constantine Creeber,Ezeiza,Pc Armada,Vodafone,134588.0,18823,,5,2,12-05-2026
02/04/2022,Timmy Ashlin,San Martín,Equipos De Video,Samsonite,314698.0,17116,2026-05-15,4,3,2026/05/15
06/03/2022,Dallis Beefon,Paternal,Electrodomésticos,Huawei,273085.0,24891,,1,1,18-05-2026
23/06/2022,Cecil Apted,Ezpeleta,Notebook,Nord,402640.0,24550,2026-05-10,3,2,2026/05/10
03/05/2022,Christel Zambonini,Ezpeleta,Equipos De Audio,LG,144422.0,22682,,5,3,12-05-2026
09/03/2022,Constantine Creeber,Floresta,Pc Armada,Nord,146250.0,18598,2026-05-15,3,1,2026/05/15
07/05/2022,Constantine Creeber,Paternal,Notebook,Corsair,276359.0,25317,,3,2,18-05-2026
15/04/2022,Em Edmonson,Boedo,Notebook,Xiaomi,392879.0,21539,2026-05-10,2,3,2026/05/10
27/03/2022,Constantine Creeber,Palermo,Electrodomésticos,Synology,433589.0,19955,,5,1,12-05-2026
13/06/2022,Humfried Woodberry,Villa Bosch,Pc Armada,Conceptronic,215316.0,17720,2026-05-15,1,2,2026/05/15
25/06/2022,Barde Benoist,Chacarita,Equipos De Video,Trust,281478.0,25065,,1,3,18-05-2026
05/01/2022,Cecil Apted,Recoleta,Notebook,Access,328255.0,23845,2026-05-10,3,1,2026/05/10
18/01/2022,Angelita Lambkin,Boedo,Notebook,Samsonite,393832.0,24228,,2,2,12-05-2026
16/05/2022,Timmy Ashlin,Paternal,Pc Armada,Ubiquity,411743.0,21245,2026-05-15,1,3,2026/05/15
01/01/2022,Barde Benoist,Floresta,Tv,Synology,122454.0,21318,,4,1,18-05-2026
13/06/2022,Cecil Apted,Villa Bosch,Equipos De Video,Trust,344028.0,16751,2026-05-10,1,2,2026/05/10
05/05/2022,Arvin Bernhardi,Ezeiza,Equipos De Audio,Belkin,221854.0,16759,,5,3,12-05-2026
11/02/2022,Humfried Woodberry,Palermo,Notebook,Digitus,458943.0,23360,2026-05-15,4,1,2026/05/15
23/01/2022,Em Edmonson,Villa Soldati,Electrodomésticos,Netgear,426406.0,17616,,3,2,18-05-2026
08/03/2022,Barde Benoist,Villa Bosch,Equipos De Video,Huawei,120745.0,16947,2026-05-10,3,3,2026/05/10
01/02/2022,Ursuline Castilla,Ezpeleta,Equipos De Video,Ubiquity,277571.0,22362,,3,1,12-05-2026
07/02/2022,Em Edmonson,Palermo,Electrodomésticos,Trust,342982.0,17761,2026-05-15,3,2,2026/05/15
23/05/2022,Juliet Glynne,Ezeiza,Pc Armada,Conceptronic,325384.0,21978,,3,3,18-05-2026
29/03/2022,Pennie Hess,Ezpeleta,Notebook,Nord,371651.0,23369,2026-05-10,1,1,2026/05/10
19/02/2022,Em Edmonson,Villa Bosch,Equipos De Audio,Vodafone,128451.0,24661,,3,2,12-05-2026
28/01/2022,Angelita Lambkin,San Martín,Equipos De Audio,Engel,130854.0,19776,2026-05-15,3,3,2026/05/15
06/04/2022,Constantine Creeber,Villa Bosch,Equipos De Audio,Huawei,305164.0,25551,,5,1,18-05-2026
18/02/2022,Christel Zambonini,Villa Crespo,Equipos De Audio,Kensington,431789.0,24074,2026-05-10,5,2,2026/05/10
02/01/2022,Cecil Apted,Recoleta,Equipos De Video,Vodafone,248140.0,17090,,5,3,12-05-2026
08/03/2022,Christel Zambonini,Avellaneda,Pc Armada,Trust,397856.0,20135,2026-05-15,3,1,2026/05/15
31/01/2022,Humfried Woodberry,Floresta,Tv,Huawei,171566.0,16988,,1,2,18-05-2026
25/02/2022,Dallis Beefon,Villa Bosch,Tv,Huawei,386679.0,22366,2026-05-10,5,3,2026/05/10
05/03/2022,Timmy Ashlin,Boedo,Equipos De Audio,Access,145646.0,17003,,2,1,12-05-2026
17/03/2022,Angelita Lambkin,Chacarita,Tv,Trust,311397.0,24491,2026-05-15,1,2,2026/05/15
01/03/2022,Christel Zambonini,Floresta,Equipos De Video,Xiaomi,353622.0,21864,,3,3,18-05-2026
13/02/2022,Ursuline Castilla,Flores,Equipos De Audio,Millenium,286731.0,17544,2026-05-10,4,1,2026/05/10
28/02/2022,Pennie Hess,Floresta,Pc Armada,Wacom,310189.0,23101,,2,2,12-05-2026
08/04/2022,Humfried Woodberry,Flores,Tv,Ubiquity,276215.0,23831,2026-05-15,5,3,2026/05/15
05/05/2022,Juliet Glynne,Villa Soldati,Equipos De Audio,Huawei,199686.0,19336,,3,1,18-05-2026
07/03/2022,Constantine Creeber,Boedo,Equipos De Video,Digitus,265852.0,21817,2026-05-10,3,2,2026/05/10
02/03/2022,Barde Benoist,Villa Crespo,Notebook,Netgear,237216.0,25045,,1,3,12-05-2026
16/06/2022,Dallis Beefon,Chacarita,Equipos De Audio,Samsung,367376.0,23114,2026-05-15,3,1,2026/05/15
03/04/2022,Arvin Bernhardi,Chacarita,Electrodomésticos,Corsair,439531.0,24865,,4,2,18-05-2026
16/05/2022,Pennie Hess,Villa Crespo,Equipos De Video,Ubiquity,165155.0,23553,2026-05-10,4,3,2026/05/10
12/01/2022,Ursuline Castilla,Ezpeleta,Electrodomésticos,Digitus,296011.0,23216,,1,1,12-05-2026
01/06/2022,Humfried Woodberry,Villa Bosch,Equipos De Video,Corsair,227413.0,17138,2026-05-15,2,2,2026/05/15
06/02/2022,Dorotea Brandolini,Palermo,Equipos De Audio,Synology,270280.0,20094,,5,3,18-05-2026
18/06/2022,Juliet Glynne,San Martín,Equipos De Video,Samsung,207241.0,21946,2026-05-10,5,1,2026/05/10
08/01/2022,Cecil Apted,Boedo,Pc Armada,Engel,100212.0,18325,,2,2,12-05-2026
31/05/2022,Humfried Woodberry,San Martín,Notebook,Xiaomi,419619.0,21879,2026-05-15,3,3,2026/05/15
18/05/2022,Dallis Beefon,Ezeiza,Pc Armada,Huawei,115175.0,17195,,2,1,18-05-2026
11/05/2022,Cecil Apted,Avellaneda,Electrodomésticos,Corsair,349446.0,25227,2026-05-10,5,2,2026/05/10
30/05/2022,Juliet Glynne,Boedo,Equipos De Video,Synology,336999.0,17116,,5,3,12-05-2026
25/04/2022,Angelita Lambkin,Flores,Pc Armada,Belkin,435288.0,23145,2026-05-15,4,1,2026/05/15
21/05/2022,Dallis Beefon,Boedo,Tv,Netgear,145613.0,17621,,2,2,18-05-2026
07/01/2022,Angelita Lambkin,Boedo,Tv,Toshiba,366294.0,18748,2026-05-10,1,3,2026/05/10
09/06/2022,Humfried Woodberry,Villa Crespo,Tv,Digitus,338643.0,19639,,2,1,12-05-2026
17/01/2022,Barde Benoist,Flores,Notebook,Belkin,233715.0,24722,2026-05-15,4,2,2026/05/15
13/04/2022,Pennie Hess,Ezpeleta,Equipos De Audio,Wacom,300876.0,17686,,2,3,18-05-2026
12/02/2022,Barde Benoist,Ezeiza,Tv,Vodafone,206199.0,17790,2026-05-10,3,1,2026/05/10
23/01/2022,Angelita Lambkin,Avellaneda,Equipos De Video,Huawei,397482.0,25316,,5,2,12-05-2026
19/04/2022,Em Edmonson,Floresta,Notebook,Digitus,264035.0,20695,2026-05-15,2,3,2026/05/15
02/01/2022,Ursuline Castilla,Chacarita,Equipos De Video,Samsung,310756.0,23852,,3,1,18-05-2026
09/03/2022,Arvin Bernhardi,Ezpeleta,Tv,Trust,262587.0,20685,2026-05-10,1,2,2026/05/10
10/06/2022,Dallis Beefon,Paternal,Equipos De Video,Vodafone,415796.0,17521,,5,3,12-05-2026
25/06/2022,Humfried Woodberry,Palermo,Notebook,Synology,450140.0,19399,2026-05-15,1,1,2026/05/15
28/05/2022,Ursuline Castilla,Ezeiza,Electrodomésticos,Engel,310458.0,20847,,5,2,18-05-2026
28/01/2022,Constantine Creeber,Villa Soldati,Equipos De Audio,Synology,258961.0,24780,2026-05-10,4,3,2026/05/10
18/05/2022,Dallis Beefon,Chacarita,Equipos De Video,Ubiquity,186868.0,23012,,4,1,12-05-2026
30/03/2022,Timmy Ashlin,Chacarita,Equipos De Audio,Access,395729.0,17523,2026-05-15,2,2,2026/05/15
22/05/2022,Dallis Beefon,Villa Crespo,Equipos De Audio,Kensington,360324.0,22365,,1,3,18-05-2026
31/03/2022,Em Edmonson,Flores,Notebook,Netgear,153974.0,24962,2026-05-10,1,1,2026/05/10
