venta_id,documento_cliente,cliente,correo,fecha_compra,monto,moneda,canal,cantidad_items
V000112,30530215,Micaela Gómez,MICAELA.GOMEZ.46@HOTMAIL.COM,25/10/2025,27557.8,ARS,Web,2
V000113,40-088-903,Martín Torres, martin.torres.49@hotmail.com ,03-02-25,8285.53,ARS,Web,2
V000114, 40088903 ,Martin Torres,,09/02/2026,18488.59,ARS,Web,3
V000115,40088903,Martín Torres, martin.torres.49@hotmail.com ,2024-02-27,8746.13,ARS,Marketplace,2
V000116,37-626-427,Carlos Suarez,carlos.suarez.91@gmail.com,31/07/2025,47259.24,ARS,Tienda,3
V000117,37-626-427,CARLOS SUAREZ,carlos.suarez.91@gmail.com,19/03/2025,66899.6,ARS,Web,1
V000118,,Carlos Suárez,CARLOS.SUAREZ.91@GMAIL.COM,05-04-25,53802.37,ARS,Web,2
V000119,37626427,Carlos Suarez,carlos.suarez.91@gmail.com,17/06/2025,34958.67,ARS,App,4
V000120,37.626.427,CARLOS SUAREZ,,31-12-24,30617.93,ARS,Marketplace,2
V000121,37626427,Carlos Suarez,CARLOS.SUAREZ.91@GMAIL.COM,15-06-24,144380.9,ARS,Web,5
V000122,37167854,Pablo Rojas, pablo.rojas.78@empresa.com.ar ,04-03-25,17713.77,ARS,Tienda,1
V000123,34569245,Lucia Acosta,luciaacosta50@hotmail.com,03/11/2025,13734.05,ARS,Tienda,2
V000124,,Lucía Acosta,LUCIA.ACOSTA.50@HOTMAIL.COM,12-07-25,61856.69,ARS,App,4
V000125,44.205.028,CAMILA PEREZ,camila.perez.30@gmail.com,10/07/2026,37512.63,ARS,Tienda,3
V000126,44.205.028,Camila Perez,camilaperez30@gmail.com,27-06-25,25226.31,ARS,Tienda,1
V000127, 33606535 ,Nicolas Alvarez, nicolas.pablo.alvarez.82@hotmail.com ,2024-12-06,15079.26,ARS,Tienda,3
V000128, 33606535 ,Nicolas Pablo Alvarez,NICOLAS.PABLO.ALVAREZ.82@HOTMAIL.COM,17/03/2026,49770.83,ARS,Web,2
V000129,33-606-535,Nicolás Pablo Álvarez,nicolas.pablo.alvarez.82@hotmail.com,2026-06-06,22178.66,ARS,Marketplace,1
V000130, 33606535 ,Nicolas Alvarez,NICOLAS.PABLO.ALVAREZ.82@HOTMAIL.COM,21-02-26,14599.35,ARS,App,1
V000131, 33606535 ,Nicolas Pablo Alvarez, nicolas.pablo.alvarez.82@hotmail.com ,23/07/2025,22171.23,ARS,Web,1
V000132, 33606535 ,Nicolas Alvarez,nicolas.pablo.alvarez.82@hotmail.com,2026-06-27,8293.39,ARS,App,1
V000133,33-606-535,Nicolas P. Alvarez,NICOLAS.PABLO.ALVAREZ.82@HOTMAIL.COM,23-10-24,15659.46,ARS,Tienda,1
V000134, 46881748 ,MICAELA CARLOS ORTIZ, micaela.carlos.ortiz.94@empresa.com.ar ,22-01-26,26288.46,ARS,App,1
V000135,46-881-748,Micaela Carlos Ortiz,micaelacarlosortiz94@empresa.com.ar,03-01-24,105330.21,ARS,Tienda,2
V000136,47-496-897,PABLO SUAREZ, pablo.suarez.21@hotmail.com ,02/01/2026,134064.59,ARS,Web,4
V000137,47496897,Pablo Suarez, pablo.suarez.21@hotmail.com ,23/03/2025,112075.93,ARS,Marketplace,2
V000138,47-496-897,Pablo Suarez, pablo.suarez.21@hotmail.com ,2025-10-06,21725.36,ARS,Web,3
V000139,47-496-897,Pablo Suárez,pablo.suarez.21@hotmail.com,09/09/2024,13533.54,ARS,Tienda,3
V000140,,Daniela Acosta,daniela.acosta.19@outlook.com,2024-06-05,18701.61,ARS,App,3
V000141, 33654801 ,Daniela Acosta, daniela.acosta.19@outlook.com ,22-05-24,46292.6,ARS,Tienda,5
V000142, 33654801 ,Daniela Acosta,,06-07-25,4332.41,ARS,Tienda,3
V000143,33-654-801,Daniela Acosta,,30/04/2024,18030.42,ARS,Tienda,2
V000144,35173085,Juan Ortiz, juan.ortiz.87@outlook.com ,2026-04-17,49820.3,ARS,Tienda,3
V000145,35173085,Juan Ortiz,juan.ortiz.87@outlook.com,02/02/2024,25943.24,ARS,Tienda,3
V000146,35173085,Juan Ortiz,,2025-03-18,24688.84,ARS,Web,1
V000147,35173085,Juan Ortiz,juan.ortiz.87@outlook.com,2025-06-14,12880.94,ARS,App,2
V000148,35173085,Juan Ortiz,juan.ortiz.87@outlook.com,2025-06-18,58976.98,ARS,App,1
V000149,35173085,Juan Ortiz,juan.ortiz.87@outlook.com,16/04/2025,20816.0,ARS,Web,2
V000150,35173085,Juan Ortiz,juan.ortiz.87@outlook.com,25/02/2025,42578.34,ARS,Web,2
V000151, 34538334 ,Micaela Molina,micaelamolina69@gmail.com,2024-05-30,14122.23,ARS,Tienda,1
V000152,39385527,Juan Andres Diaz, juan.andres.diaz.9@empresa.com.ar ,04-06-26,13656.94,ARS,Tienda,1
V000153,39.385.527,Juan A. Diaz,JUAN.ANDRES.DIAZ.9@EMPRESA.COM.AR,2026-01-02,17217.96,ARS,App,4
V000154,34373604,ANDRES SANCHEZ,,10/08/2026,91097.61,ARS,Marketplace,2
V000155, 34373604 ,Andres Sanchez, andres.sanchez.71@gmail.com ,19-02-24,96580.82,ARS,Tienda,3
V000156, 34373604 ,ANDRES SANCHEZ, andres.sanchez.71@gmail.com ,28/02/2025,79629.34,ARS,Marketplace,1
V000157, 34373604 ,Andres Sanchez,,25-12-25,14510.12,ARS,App,3
V000158,23-547-324,Martin Rodriguez, martin.rodriguez.3@hotmail.com ,28-04-26,51496.68,ARS,Web,1
V000159, 23547324 ,Martín Rodríguez,MARTIN.RODRIGUEZ.3@HOTMAIL.COM,2026-03-24,134865.54,ARS,App,2
V000160, 23547324 ,Martin Rodriguez,martinrodriguez3@hotmail.com,25-02-25,24222.36,ARS,Marketplace,4
V000161,23-547-324,Martín Rodríguez,MARTIN.RODRIGUEZ.3@HOTMAIL.COM,28-06-24,16106.75,ARS,App,4
V000162, 23547324 ,Martin Rodriguez, martin.rodriguez.3@hotmail.com ,03/11/2025,12403.8,ARS,Web,5
V000163,35377986,Diego Fernández, diego.fernandez.82@hotmail.com ,16-04-26,17061.55,ARS,Web,1
V000164,,DIEGO FERNANDEZ,DIEGO.FERNANDEZ.82@HOTMAIL.COM,2025-05-07,22047.99,ARS,Web,3
V000165,35-377-986,Diego Fernandez, diego.fernandez.82@hotmail.com ,2024-11-13,25501.13,ARS,Marketplace,2
V000166,35-377-986,Diego Fernandez, diego.fernandez.82@hotmail.com ,2025-08-20,106070.77,ARS,Marketplace,1
V000167, 46599673 ,Valentina Molina,valentina.molina.95@empresa.com.ar,22-11-25,28541.55,ARS,Tienda,4
V000168,46599673,Valentina Molina, valentina.molina.95@empresa.com.ar ,03-02-24,100256.05,ARS,Tienda,3
V000169,46-599-673,Valentina Molina,valentina.molina.95@empresa.com.ar,2025-07-31,162197.55,ARS,Tienda,3
V000170,46599673,Valentina Molina, valentina.molina.95@empresa.com.ar ,2025-12-02,10990.83,ARS,App,3
V000171,46.599.673,Valentina Molina,,2026-01-26,128740.15,ARS,Web,3
V000172,37410383,Agustina Navarro,,2024-07-12,8937.75,ARS,App,7
V000173,21.724.284,Martin Fernandez, martin.fernandez.75@empresa.com.ar ,2025-03-16,162697.47,ARS,Tienda,1
V000174,21.724.284,Martin Fernandez,martin.fernandez.75@empresa.com.ar,29/06/2024,138561.05,ARS,Marketplace,3
V000175, 21724284 ,MARTIN FERNANDEZ, martin.fernandez.75@empresa.com.ar ,2024-06-13,113337.75,ARS,Web,2
V000176, 49008247 ,MARTIN TOMAS ORTIZ,,2026-06-06,15329.1,ARS,App,3
V000177,49-008-247,Martín Tomás Ortiz,MARTIN.TOMAS.ORTIZ.3@HOTMAIL.COM,2024-06-10,33901.51,ARS,Tienda,1
V000178,49008247,Martín Tomás Ortiz,MARTIN.TOMAS.ORTIZ.3@HOTMAIL.COM,2025-10-31,45633.68,ARS,Web,4
V000179, 49008247 ,Martin T. Ortiz,martin.tomas.ortiz.3@hotmail.com,06/04/2024,46400.81,ARS,Tienda,3
V000180,49-008-247,Martin Tomas Ortiz,MARTIN.TOMAS.ORTIZ.3@HOTMAIL.COM,20-06-24,7066.25,ARS,Web,2
V000181,32-484-270,LUCIA TORRES,LUCIA.TORRES.66@OUTLOOK.COM,06/06/2024,21708.38,ARS,Tienda,6
V000182,32.484.270,Lucia Torres,,2024-07-25,11273.81,ARS,Tienda,2
V000183,32.484.270,Lucía Torres,LUCIA.TORRES.66@OUTLOOK.COM,2026-07-19,12760.37,ARS,Tienda,1
V000184, 32484270 ,Lucia Torres,LUCIA.TORRES.66@OUTLOOK.COM,2026-08-20,34109.03,ARS,Tienda,3
V000185,,Martin Romero,,16-08-24,55814.11,ARS,Tienda,2
V000186,30.640.540,MARTIN ROMERO,MARTIN.ROMERO.61@OUTLOOK.COM,2025-06-18,178935.84,ARS,App,2
V000187, 27879413 ,Natalia Sanchez,NATALIA.SANCHEZ.56@OUTLOOK.COM,2025-10-31,63158.5,ARS,Tienda,3
V000188,27.879.413,Natalia Sanchez,natalia.sanchez.56@outlook.com,23/02/2025,8326.42,ARS,Tienda,2
V000189,48-093-224,Julieta F. Navarro,julieta.federico.navarro.67@hotmail.com,22-10-24,85263.19,ARS,Marketplace,2
V000190,,Julieta Federico Navarro,,01-04-24,172028.84,ARS,Web,2
V000191,48-093-224,Julieta Federico Navarro, julieta.federico.navarro.67@hotmail.com ,20-03-25,6822.29,ARS,App,1
V000192,48-093-224,Julieta F. Navarro,julieta.federico.navarro.67@hotmail.com,16/09/2025,79921.14,ARS,Marketplace,4
V000193,48093224,Julieta F. Navarro,,2026-08-01,12778.4,ARS,Marketplace,5
V000194,47730332,Andres Ortiz, andres.ortiz.27@hotmail.com ,24/02/2025,26825.6,ARS,Web,2
V000195,47-730-332,Andres Ortiz, andres.ortiz.27@hotmail.com ,17-05-25,21203.38,ARS,Web,2
V000196,47.730.332,Andres Ortiz, andres.ortiz.27@hotmail.com ,07-06-25,68589.02,ARS,Web,1
V000197,47-730-332,Andres Ortiz,ANDRES.ORTIZ.27@HOTMAIL.COM,31-10-25,46834.08,ARS,Tienda,3
V000198, 34521476 ,NATALIA MARTINEZ,NATALIA.MARTINEZ.33@GMAIL.COM,16-03-26,5236.76,ARS,Tienda,3
V000199,46448493,Franco Alvarez, franco.alvarez.80@gmail.com ,09-08-24,27924.65,ARS,App,3
V000200, 36184645 ,Camila Fernandez, camila.fernandez.61@empresa.com.ar ,2025-12-16,155724.62,ARS,App,2
V000201,46-187-700,Camila Fernández,camila.fernandez.61@empresa.com.ar,2026-05-14,43279.75,ARS,Tienda,1
V000202,37-549-291,SOFIA ORTIZ,,15/03/2024,16544.88,ARS,Tienda,1
V000203,,Sofia Ortiz,sofia.ortiz.94@gmail.com,2026-02-19,21885.19,ARS,App,6
V000204,37-549-291,Sofia Ortiz,,22-03-26,37324.69,ARS,Web,3
V000205,,Sofía Ortiz,SOFIA.ORTIZ.94@GMAIL.COM,2024-04-25,160903.0,ARS,App,1
V000206,,Diego Benitez,diego.benitez.47@outlook.com,08-05-24,39569.29,ARS,Tienda,2
V000207, 35286368 ,DIEGO BENITEZ,diego.benitez.47@outlook.com,11-08-24,9.84,USD,Tienda,2
V000208,35286368,DIEGO BENITEZ,DIEGO.BENITEZ.47@OUTLOOK.COM,2024-01-24,70438.98,ARS,Marketplace,4
V000209,35286368,DIEGO BENITEZ,DIEGO.BENITEZ.47@OUTLOOK.COM,09-05-24,205551.67,ARS,Tienda,2
V000210,22-186-368,Pablo Fernandez,pablo.fernandez.0@empresa.com.ar,2024-06-02,26366.18,ARS,App,1
V000211,,Pablo Fernandez, pablo.fernandez.0@empresa.com.ar ,2024-07-10,91805.28,ARS,Tienda,1
V000212, 22186368 ,PABLO FERNANDEZ, pablo.fernandez.0@empresa.com.ar ,20/07/2025,10922.8,ARS,Tienda,1
V000213, 29814938 ,Sebastian Benitez, sebastian.benitez.52@gmail.com ,15-05-25,47330.09,ARS,Web,4
V000214,29814938,Sebastian Benitez,SEBASTIAN.BENITEZ.52@GMAIL.COM,2026-03-02,18353.64,ARS,Tienda,2
V000215, 29814938 ,SEBASTIAN BENITEZ,SEBASTIAN.BENITEZ.52@GMAIL.COM,09/01/2026,23636.07,ARS,App,4
V000216, 29814938 ,Sebastian Benitez, sebastian.benitez.52@gmail.com ,06-10-25,20754.31,ARS,Marketplace,1
V000217, 29814938 ,Sebastian Benitez,SEBASTIAN.BENITEZ.52@GMAIL.COM,04-07-24,14384.33,ARS,App,3
V000218,31-129-394,Martín Gómez,martingomez62@hotmail.com,28/07/2026,803802.64,ARS,Marketplace,2
V000219,31.129.394,MARTIN GOMEZ,MARTIN.GOMEZ.62@HOTMAIL.COM,2025-05-03,118081.25,ARS,App,2
V000220, 31129394 ,Martín Gómez,martin.gomez.62@hotmail.com,23-12-24,71968.66,ARS,Tienda,1
V000221,31-129-394,MARTIN GOMEZ,MARTIN.GOMEZ.62@HOTMAIL.COM,2025-11-07,92150.61,ARS,Marketplace,3
V000222,31.129.394,Martin Gomez, martin.gomez.62@hotmail.com ,2025-05-19,232037.92,ARS,Tienda,1
V000223, 25584143 ,Carolina Molina,carolina.molina.25@gmail.com,27/03/2026,16092.67,ARS,Marketplace,3
V000224,25-584-143,Carolina Molina,carolina.molina.25@gmail.com,2026-04-01,17232.12,ARS,Marketplace,4
V000225,25584143,Carolina Molina, carolina.molina.25@gmail.com ,2024-03-04,60116.15,ARS,App,2
V000226, 49803465 ,Sofía Federico Ruiz,sofiafedericoruiz81@gmail.com,2024-12-22,8322.84,ARS,Marketplace,1
V000227,49.803.465,SOFIA FEDERICO RUIZ,SOFIA.FEDERICO.RUIZ.81@GMAIL.COM,02/02/2024,21721.44,ARS,Tienda,3
V000228,49.803.465,SOFIA FEDERICO RUIZ, sofia.federico.ruiz.81@gmail.com ,20/12/2024,40153.45,ARS,Marketplace,2
V000229, 49803465 ,Sofia Ruiz,SOFIA.FEDERICO.RUIZ.81@GMAIL.COM,2025-12-25,24051.15,ARS,Tienda,1
V000230,49.803.465,SOFIA FEDERICO RUIZ,sofia.federico.ruiz.81@gmail.com,17-06-24,24284.05,ARS,Marketplace,2
V000231,49.803.465,Sofía Federico Ruiz, sofia.federico.ruiz.81@gmail.com ,11-08-25,56162.95,ARS,Marketplace,2
