suscriptor_id,email,nombre,estado,aperturas_90d,clicks_90d
N0268,agustinarodriguez81@gmail.com,Agustina Rodriguez,inactivo,7,6
N0269,camila.rojas.41@hotmail.com,Camila Rojas,inactivo,4,2
N0270,FEDERICO.GOMEZ.43@HOTMAIL.COM,Federico Gomez,activo,3,3
N0271, julieta.lopez.96@hotmail.com ,Julieta López,activo,4,2
N0272,JOAQUIN.ORTIZ.1@OUTLOOK.COM,Joaquin Ortiz,inactivo,7,2
N0273,CAMILA.RUIZ.19@EMPRESA.COM.AR,Camila Ruiz,rebote,5,3
N0274,carlos.nicolas.benitez.71@outlook.com,Carlos Nicolas Benitez,inactivo,6,2
N0275, daniela.acosta.16@empresa.com.ar ,DANIELA ACOSTA,activo,4,2
N0276, pablo.fernandez.0@empresa.com.ar ,Pablo Fernandez,activo,4,1
N0277,micaela.perez.33@hotmail.com,Micaela Perez,activo,3,2
N0278,VALENTINA.RAMIREZ.7@GMAIL.COM,Joaquín Navarro,activo,6,1
N0279,diego.diaz.7@gmail.com,Diego Diaz,activo,12,2
N0280,AGUSTINA.BENITEZ.96@EMPRESA.COM.AR,Agustina Benitez,activo,4,3
N0281, juan.silva.0@empresa.com.ar ,Juan Silva,activo,7,1
N0282,LEANDRO.ALVAREZ.48@OUTLOOK.COM,LEANDRO ALVAREZ,activo,2,4
N0283,agustinaflorenciasilva41@empresa.com.ar,Agustina Florencia Silva,activo,6,2
N0284,SOFIA.FEDERICO.RUIZ.81@GMAIL.COM,Sofia F. Ruiz,activo,1,2
N0285,camila.fernandez.61@empresa.com.ar,Camila Fernandez,activo,4,1
N0286, martin.torres.49@hotmail.com ,Martin Torres,activo,3,2
N0287,JUAN.ROJAS.28@GMAIL.COM,Juan Rojas,rebote,7,2
N0288, gonzalo.benitez.63@outlook.com ,GONZALO BENITEZ,activo,7,0
N0289,LAURA.MOLINA.7@GMAIL.COM,Laura Molina,activo,7,2
N0290,rocio.medina.77@empresa.com.ar,Rocio Medina,inactivo,5,2
N0291, camila.acosta.31@gmail.com ,Camila Acosta,activo,1,2
N0292, martin.fernandez.75@empresa.com.ar ,MARTIN FERNANDEZ,activo,3,2
N0293,JULIETA.ROCIO.ALVAREZ.87@GMAIL.COM,Julieta R. Alvarez,activo,4,3
N0294,federico.matias.fernandez.20@gmail.com,FEDERICO MATIAS FERNANDEZ,activo,7,1
N0295,SOFIA.MOLINA.78@HOTMAIL.COM,Sofía Molina,activo,6,0
N0296,DANIELA.SILVA.1@HOTMAIL.COM,Daniela Silva,activo,3,3
N0297,martin.alvarez.77@gmail.com,Martin Alvarez,activo,5,1
N0298, pablo.rodriguez.1@empresa.com.ar ,Pablo Rodriguez,activo,5,2
N0299,FEDERICO.FERNANDEZ.29@GMAIL.COM,FEDERICO FERNANDEZ,inactivo,4,1
N0300, valentina.romero.94@empresa.com.ar ,Valentina Romero,inactivo,9,2
N0301,diego.agustina.fernandez.81@outlook.com,Diego Agustina Fernandez,activo,2,2
N0302,NICOLAS.SILVA.22@OUTLOOK.COM,NICOLAS SILVA,activo,5,0
N0303,federico.andres.martinez.46@hotmail.com,Federico A. Martinez,activo,3,1
N0304,,LEANDRO TOMAS PEREZ,rebote,8,1
N0305,FEDERICO.ACOSTA.93@OUTLOOK.COM,Federico Acosta,activo,2,3
N0306, sofia.carolina.rojas.56@empresa.com.ar ,Sofia Carolina Rojas,activo,9,0
N0307,diego.fernandez.82@hotmail.com,Diego Fernandez,inactivo,7,1
N0308,,María Molina,activo,8,2
N0309,carolina.ramirez.90@outlook.com,CAROLINA RAMIREZ,activo,6,2
N0310,LEANDRO.BENITEZ.85@EMPRESA.COM.AR,Leandro Benitez,activo,4,2
N0311,JUAN.CASTRO.68@GMAIL.COM,Juan Castro,activo,5,1
N0312,martinacosta15@gmail.com,Paula Torres,inactivo,3,0
N0313,diego.ortiz.89@outlook.com,DIEGO ORTIZ,activo,7,3
N0314, leandro.natalia.molina.28@hotmail.com ,Leandro Molina,activo,5,2
N0315, federico.alvarez.23@hotmail.com ,Federico Alvarez,activo,3,0
N0316,PABLO.RAMIREZ.9@GMAIL.COM,Pablo Ramírez,inactivo,7,1
N0317,diegoacosta93@gmail.com,Diego Acosta,inactivo,4,2
N0318,MARTIN.GOMEZ.24@OUTLOOK.COM,MARTIN GOMEZ,inactivo,5,2
N0319,sebastian.romero.44@empresa.com.ar,Sebastian Romero,activo,7,3
N0320,tomasromero76@outlook.com,Tomas Romero,activo,8,1
N0321, maria.julieta.acosta.26@hotmail.com ,Maria Julieta Acosta,activo,10,0
N0322,,GONZALO NAVARRO,activo,6,4
N0323,valentinaramirez65@empresa.com.ar,VALENTINA RAMIREZ,inactivo,9,1
N0324,MARTIN.DIAZ.6@GMAIL.COM,Martin Diaz,activo,2,5
N0325,laura.diaz.36@outlook.com,Laura Diaz,activo,3,3
