ticket_id,documento,nombre_cliente,email_contacto,fecha_ticket,tipo,satisfaccion
T00020,27.095.289,Martín Silva,florencia.sanchez.8@hotmail.com,24-07-25,Consulta,4
T00021, 27095289 ,Martín Silva,florencia.sanchez.8@hotmail.com,2025-02-02,Consulta,N/A
T00022,,Martin Silva,florencia.sanchez.8@hotmail.com,2025-12-22,Cambio,
T00023,34-821-599,Julieta López,julieta.lopez.37@gmail.com,2026-06-26,Consulta,5
T00024, 23357600 ,Franco Diaz,FRANCO.DIAZ.3@OUTLOOK.COM,22/01/2025,Entrega,3
T00025,23357600,Franco Diaz,franco.diaz.3@outlook.com,2026-03-03,Entrega,
T00026,23.357.600,FRANCO DIAZ,FRANCO.DIAZ.3@OUTLOOK.COM,2026-06-11,Cambio,
T00027,47-643-167,Leandro Diaz,LEANDRO.DIAZ.56@HOTMAIL.COM,26-10-25,Entrega,5
T00028, 31475372 ,NICOLAS MOLINA,nicolas.molina.27@empresa.com.ar,21-01-25,Entrega,5
T00029,46881748,Micaela Carlos Ortiz, micaela.carlos.ortiz.94@empresa.com.ar ,28-04-26,Garantia,N/A
T00030, 36602230 ,Paula Benítez, paula.benitez.13@gmail.com ,27/05/2026,Facturacion,5
T00031,36-602-230,PAULA BENITEZ,PAULA.BENITEZ.13@GMAIL.COM,2025-07-12,Garantia,N/A
T00032, 21444100 ,Franco Fernandez,FRANCO.FERNANDEZ.70@OUTLOOK.COM,18/10/2025,Consulta,5
T00033,21-444-100,Franco Fernández,FRANCO.FERNANDEZ.70@OUTLOOK.COM,2025-05-17,Entrega,3
T00034,21.444.100,Franco Fernandez,,2025-12-26,Garantia,1
T00035,28.693.887,Natalia Castro, natalia.castro.64@empresa.com.ar ,15-07-26,Cambio,5
T00036,28-693-887,Natalia Castro,nataliacastro64@empresa.com.ar,11-11-25,Cambio,4
T00037,37-722-421,Laura Pérez,LAURA.PEREZ.69@OUTLOOK.COM,27/11/2025,Entrega,
T00038,37-722-421,Laura Perez,LAURA.PEREZ.69@OUTLOOK.COM,08/09/2025,Garantia,1
T00039,46-785-724,Sofia Rojas, leandro.diaz.68@empresa.com.ar ,15-06-26,Facturacion,5
T00040,21235333,Franco Castro,FRANCO.CASTRO.72@GMAIL.COM,2025-12-28,Entrega,
T00041,21-235-333,Franco Castro,FRANCO.CASTRO.72@GMAIL.COM,06-02-25,Garantia,2
T00042,42640126,Matías Acosta, matias.acosta.58@hotmail.com ,2025-08-23,Entrega,
T00043,42.640.126,Matias Acosta, matias.acosta.58@hotmail.com ,06-12-25,Entrega,2
T00044,42.640.126,Matias Acosta,matias.acosta.58@hotmail.com,03-02-26,Entrega,4
T00045,20993851,Franco Tomas Ortiz,franco.tomas.ortiz.78@empresa.com.ar,29/05/2026,Consulta,5
T00046,20-993-851,Franco Ortiz, franco.tomas.ortiz.78@empresa.com.ar ,17-09-25,Cambio,3
T00047,20.993.851,Franco T. Ortiz,FRANCO.TOMAS.ORTIZ.78@EMPRESA.COM.AR,13-02-26,Facturacion,2
T00048,24733378,Florencia Ramirez,florencia.ramirez.11@hotmail.com,23/11/2025,Cambio,3
T00049,24733378,FLORENCIA RAMIREZ,FLORENCIA.RAMIREZ.11@HOTMAIL.COM,18/06/2026,Facturacion,1
T00050, 24733378 ,Florencia Ramirez, florencia.ramirez.11@hotmail.com ,13/06/2025,Facturacion,N/A
T00051, 34586391 ,SOFIA LOPEZ,sofia.lopez.17@gmail.com,2026-02-16,Consulta,1
T00052,34.586.391,Sofia Lopez,sofia.lopez.17@gmail.com,2026-07-04,Cambio,4
T00053,34-586-391,Sofia Lopez,SOFIA.LOPEZ.17@GMAIL.COM,20-06-26,Garantia,4
T00054,23-085-199,Lucia Martinez,lucia.martinez.41@empresa.com.ar,26/07/2026,Entrega,N/A
T00055, 23508682 ,Natalia Rojas,,11/05/2026,Entrega,N/A
T00056,23508682,Natalia Rojas, natalia.rojas.23@outlook.com ,31/07/2026,Garantia,
T00057,23-508-682,Natalia Rojas,natalia.rojas.23@outlook.com,18/01/2026,Garantia,5
T00058, 46369729 ,Sebastian Gomez, sebastian.gomez.89@outlook.com ,08-09-25,Facturacion,N/A
T00059,46369729,Sebastian Gomez,SEBASTIAN.GOMEZ.89@OUTLOOK.COM,06/07/2026,Entrega,1
T00060,46369729,Sebastian Gomez, sebastian.gomez.89@outlook.com ,2025-01-23,Cambio,1
T00061,23.723.797,Maria Benitez,maria.benitez.28@outlook.com,22/11/2025,Garantia,5
T00062,30-521-997,Sebastian Flores,sebastian.flores.5@empresa.com.ar,05/04/2025,Consulta,2
T00063,30521997,SEBASTIAN FLORES,sebastian.flores.5@empresa.com.ar,2026-05-12,Garantia,2
T00064,30-521-997,Sebastian Flores, sebastian.flores.5@empresa.com.ar ,07-06-26,Consulta,5
T00065, 38468173 ,Leandro Alvarez,LEANDRO.ALVAREZ.48@OUTLOOK.COM,16/03/2026,Garantia,N/A
T00066, 38468173 ,Leandro Alvarez,leandro.alvarez.48@outlook.com,2026-01-31,Facturacion,3
T00067,41302790,Carlos Romero,carlos.romero.22@outlook.com,09-01-26,Facturacion,4
T00068,41-302-790,Carlos Romero,CARLOS.ROMERO.22@OUTLOOK.COM,06-09-25,Entrega,N/A
T00069, 41302790 ,CARLOS ROMERO,CARLOS.ROMERO.22@OUTLOOK.COM,2025-03-14,Facturacion,5
T00070,35769560,Paula López, paula.lopez.52@hotmail.com ,30-12-25,Facturacion,5
T00071,35-769-560,Paula López, paula.lopez.52@hotmail.com ,08-05-25,Facturacion,4
T00072,40273647,Sebastian Romero,SEBASTIAN.ROMERO.47@EMPRESA.COM.AR,2026-03-05,Facturacion,3
T00073,40273647,Sebastian Romero,sebastian.romero.47@empresa.com.ar,2025-03-09,Consulta,
T00074,40-273-647,SEBASTIAN ROMERO,sebastian.romero.47@empresa.com.ar,05/03/2026,Cambio,2
T00075,29-042-274,Tomas Medina,TOMAS.MEDINA.57@OUTLOOK.COM,2025-07-05,Garantia,3
T00076,29-042-274,TOMAS MEDINA,TOMAS.MEDINA.57@OUTLOOK.COM,2025-12-29,Consulta,1
T00077,29-042-274,TOMAS MEDINA,tomas.medina.57@outlook.com,2025-06-24,Cambio,
T00078,,Diego A. Fernandez,diego.agustina.fernandez.81@outlook.com,14/05/2025,Facturacion,2
T00079,23824598,Diego Agustina Fernández,DIEGO.AGUSTINA.FERNANDEZ.81@OUTLOOK.COM,06/06/2025,Facturacion,
T00080, 47730332 ,Andres Ortiz, andres.ortiz.27@hotmail.com ,19/01/2026,Cambio,3
T00081,30.326.929,Sebastian Acosta,sebastianacosta15@hotmail.com,19-02-25,Facturacion,1
T00082,38-461-737,Sofia Sanchez,sofia.sanchez.35@gmail.com,09/10/2025,Entrega,1
T00083, 38461737 ,Sofia Sanchez,,01-11-25,Cambio,3
T00084,,Sofia Sanchez,SOFIA.SANCHEZ.35@GMAIL.COM,2025-08-17,Entrega,4
T00085, 41831376 ,Joaquin Navarro,JOAQUIN.NAVARRO.4@GMAIL.COM,29-04-26,Facturacion,1
T00086,41-831-376,Joaquin Navarro,JOAQUIN.NAVARRO.4@GMAIL.COM,2025-01-21,Consulta,2
T00087,41-831-376,Joaquin Navarro,joaquinnavarro4@gmail.com,2026-02-09,Cambio,2
T00088,29.316.173,Martín Torres, martin.torres.72@hotmail.com ,30-07-26,Entrega,2
T00089,29-316-173,Martin Torres,martin.torres.72@hotmail.com,08/06/2026,Facturacion,2
T00090,29316173,Martin Torres, martin.torres.72@hotmail.com ,23/04/2025,Cambio,4
T00091,43-576-630,Gonzalo Castro, gonzalo.castro.11@hotmail.com ,19-04-26,Entrega,5
T00092, 34664901 ,Matias Perez,MATIAS.PEREZ.6@GMAIL.COM,2025-05-06,Consulta,3
T00093, 34664901 ,Matias Perez,MATIAS.PEREZ.6@GMAIL.COM,31-05-26,Facturacion,3
T00094,34.664.901,Matias Perez,,2025-07-28,Facturacion,4
T00095,45-940-821,Joaquin Flores,joaquin.flores.26@outlook.com,04/08/2025,Consulta,1
T00096, 32909159 ,Maria Castro,MARIA.CASTRO.35@GMAIL.COM,2025-05-30,Entrega,
T00097, 32909159 ,Maria Castro, maria.castro.35@gmail.com ,27-10-25,Cambio,
T00098, 35148204 ,Diego Benitez,DIEGO.BENITEZ.72@GMAIL.COM,09-01-25,Consulta,5
T00099, 35148204 ,Diego Benítez,DIEGO.BENITEZ.72@GMAIL.COM,2025-06-15,Entrega,4
T00100,35-148-204,Diego Benítez,diego.benitez.72@gmail.com,29-08-25,Facturacion,
T00101,24.102.179,Micaela Florencia Ortiz,nataliacastro42@gmail.com,01/08/2026,Consulta,3
T00102,,Leandro Benitez,LEANDRO.BENITEZ.85@EMPRESA.COM.AR,17/05/2026,Cambio,3
T00103,28-010-330,Leandro Benítez,leandro.benitez.85@empresa.com.ar,04/05/2026,Facturacion,3
T00104,22.512.916,SEBASTIAN MEDINA, sebastian.medina.17@gmail.com ,25-06-25,Facturacion,N/A
T00105,22-512-916,Sebastian Medina,SEBASTIAN.MEDINA.17@GMAIL.COM,2025-11-21,Garantia,4
T00106, 47454867 ,Sebastian Molina,SEBASTIAN.MOLINA.13@GMAIL.COM,18/05/2025,Facturacion,4
T00107,47454867,Sebastian Molina, sebastian.molina.13@gmail.com ,2026-06-23,Garantia,2
T00108, 47454867 ,Sebastian Molina, sebastian.molina.13@gmail.com ,30/04/2026,Entrega,
T00109,39303981,Federico Fernandez, federico.fernandez.77@outlook.com ,2026-08-16,Entrega,5
T00110,39303981,Federico Fernandez,federico.fernandez.77@outlook.com,09-02-25,Consulta,4
T00111,31431161,Pablo Ramirez,pablo.ramirez.9@gmail.com,23/03/2025,Facturacion,5
T00112,31431161,PABLO RAMIREZ,,2026-02-27,Consulta,
T00113, 41604496 ,AGUSTINA GOMEZ,agustina.gomez.19@outlook.com,05/03/2026,Cambio,3
T00114,41.604.496,Agustina Gómez, agustina.gomez.19@outlook.com ,14-05-25,Garantia,1
T00115, 41604496 ,Agustina Gomez,,28/03/2026,Consulta,N/A
T00116,40.887.002,Laura Flores,,18/07/2025,Entrega,1
T00117,36704658,LUCIA CASTRO, lucia.castro.58@empresa.com.ar ,08-01-25,Facturacion,1
T00118, 36704658 ,Lucía Castro,lucia.castro.58@empresa.com.ar,2025-02-02,Facturacion,4
T00119,38114535,Sofia Molina,sofia.molina.78@hotmail.com,2026-06-23,Cambio,4
T00120, 38114535 ,Sofia Molina, sofia.molina.78@hotmail.com ,2025-11-18,Cambio,2
T00121,47688149,Paula Romero,paula.romero.34@empresa.com.ar,11-06-26,Garantia,1
T00122,40-724-798,Micaela Medina,MICAELA.MEDINA.67@EMPRESA.COM.AR,18-08-26,Facturacion,1
T00123,40-724-798,Micaela Medina,micaela.medina.67@empresa.com.ar,2026-05-30,Garantia,2
T00124,40.724.798,Micaela Medina,MICAELA.MEDINA.67@EMPRESA.COM.AR,22/12/2025,Garantia,2
T00125,26479676,SOFIA LEANDRO ROMERO,SOFIA.LEANDRO.ROMERO.66@HOTMAIL.COM,03-05-26,Entrega,5
T00126, 26479676 ,Sofia Romero,,13/09/2025,Consulta,2
T00127, 30503680 ,Andres Rojas,,2025-03-02,Facturacion,1
T00128,30503680,Andres Rojas,andres.rojas.6@empresa.com.ar,13-02-25,Garantia,N/A
T00129,21.351.580,LAURA PEREZ,LAURA.PEREZ.45@GMAIL.COM,20-12-25,Garantia,4
T00130,37-300-619,MATIAS DIAZ,MATIAS.DIAZ.22@GMAIL.COM,2026-07-09,Facturacion,
T00131, 26999964 ,Rocío Rodríguez,rociorodriguez18@hotmail.com,27-08-25,Consulta,N/A
T00132,,Rocio Rodriguez,rocio.rodriguez.18@hotmail.com,2025-03-21,Consulta,5
T00133,26999964,Rocio Rodriguez, rocio.rodriguez.18@hotmail.com ,29/07/2025,Facturacion,1
T00134,44.971.292,NICOLAS PEREZ,NICOLAS.PEREZ.85@GMAIL.COM,06-03-26,Cambio,1
T00135,44971292,Nicolás Pérez,,2026-06-06,Consulta,3
T00136,44.971.292,Nicolas Perez,,16/06/2026,Entrega,
T00137,32.484.270,LUCIA TORRES,,2026-01-06,Facturacion,4
T00138, 32484270 ,LUCIA TORRES,LUCIA.TORRES.66@OUTLOOK.COM,29-04-25,Facturacion,2
T00139, 48268178 ,MARTIN RODRIGUEZ, martin.rodriguez.45@empresa.com.ar ,17-05-26,Garantia,4
T00140,48268178,Martin Rodriguez,martin.rodriguez.45@empresa.com.ar,06/10/2025,Entrega,4
T00141,,Federico Perez, federico.perez.74@empresa.com.ar ,2025-09-02,Garantia,2
T00142,35192299,ROCIO NATALIA PEREZ,ROCIO.NATALIA.PEREZ.6@OUTLOOK.COM,23-05-25,Cambio,2
T00143,29602704,Andres Joaquin Medina,ANDRES.JOAQUIN.MEDINA.5@GMAIL.COM,2025-08-30,Entrega,2
T00144, 29602704 ,ANDRES JOAQUIN MEDINA, andres.joaquin.medina.5@gmail.com ,2026-01-30,Consulta,5
T00145,29.602.704,Andres J. Medina,andresjoaquinmedina5@gmail.com,2025-01-18,Consulta,5
T00146,49-827-543,Carolina Gomez,,07-03-26,Garantia,N/A
T00147,,Carolina Gomez,carolina.gomez.46@outlook.com,10/07/2026,Garantia,5
T00148,38-825-261,Federico Benítez,FEDERICO.BENITEZ.45@OUTLOOK.COM,17/08/2025,Garantia,4
T00149, 38825261 ,Federico Benitez,FEDERICO.BENITEZ.45@OUTLOOK.COM,2025-02-14,Cambio,3
T00150, 38825261 ,Federico Benitez,federico.benitez.45@outlook.com,2026-03-26,Entrega,N/A
T00151,46-642-087,Federico Ruiz,federico.ruiz.38@empresa.com.ar,20/03/2026,Garantia,
T00152,45-696-626,DIEGO JOAQUIN RAMIREZ,DIEGO.JOAQUIN.RAMIREZ.30@HOTMAIL.COM,05-01-26,Cambio,2
T00153, 45696626 ,DIEGO JOAQUIN RAMIREZ, diego.joaquin.ramirez.30@hotmail.com ,28/07/2026,Facturacion,
T00154,45.696.626,Diego J. Ramirez,diego.joaquin.ramirez.30@hotmail.com,11/05/2025,Facturacion,3
T00155,47-740-943,Natalia Lopez,NATALIA.LOPEZ.48@EMPRESA.COM.AR,18-10-25,Garantia,N/A
T00156,47.740.943,Natalia Lopez,natalialopez48@empresa.com.ar,2025-03-23,Consulta,N/A
T00157,47.740.943,Natalia López, natalia.lopez.48@empresa.com.ar ,31/01/2025,Entrega,1
T00158,45.131.804,CAMILA RAMIREZ,CAMILA.RAMIREZ.90@HOTMAIL.COM,27-08-25,Cambio,2
T00159,,Camila Navarro,,2026-05-28,Cambio,2
T00160,24-574-332,Camila Navarro, camila.navarro.72@hotmail.com ,12/07/2025,Garantia,N/A
T00161,24-574-332,Camila Navarro,CAMILA.NAVARRO.72@HOTMAIL.COM,23/01/2026,Cambio,1
T00162,36-860-139,VALENTINA TORRES,valentina.torres.75@gmail.com,2026-03-28,Facturacion,1
T00163,36-860-139,VALENTINA TORRES,valentina.torres.75@gmail.com,03-01-26,Garantia,2
T00164,35-578-471,Diego Navarro,,10/07/2025,Consulta,
T00165,44521528,Carlos Nicolás Benítez, federico.acosta.77@gmail.com ,12-04-25,Garantia,5
T00166,24-773-954,FEDERICO ANDRES MARTINEZ,federicoandresmartinez46@hotmail.com,2025-03-03,Facturacion,5
T00167,24773954,Federico Andres Martinez,federico.andres.martinez.46@hotmail.com,2025-08-10,Cambio,
T00168, 24773954 ,Federico Andres Martinez,federicoandresmartinez46@hotmail.com,14/02/2026,Entrega,N/A
T00169,39.012.467,Camila Ruiz,camila.ruiz.19@empresa.com.ar,21/06/2026,Cambio,5
T00170,47.529.758,Florencia Rojas,florencia.rojas.70@empresa.com.ar,27-02-26,Entrega,4
T00171, 47529758 ,FLORENCIA ROJAS,FLORENCIA.ROJAS.70@EMPRESA.COM.AR,2025-03-23,Consulta,
T00172,34918548,CAROLINA CASTRO,CAROLINA.CASTRO.88@EMPRESA.COM.AR,13-07-25,Consulta,5
T00173, 21965745 ,Laura Romero, laura.romero.9@empresa.com.ar ,09/01/2026,Consulta,4
T00174,21.965.745,Laura Romero,,06-11-25,Facturacion,5
T00175,21-965-745,Laura Romero,LAURA.ROMERO.9@EMPRESA.COM.AR,2026-02-05,Entrega,2
T00176,25.907.787,Daniela Silva,daniela.silva.1@hotmail.com,07/05/2026,Garantia,5
T00177,27-701-560,Gonzalo Benitez,,2025-05-12,Consulta,5
T00178, 27701560 ,Gonzalo Benítez, gonzalo.benitez.81@hotmail.com ,2025-06-15,Entrega,5
T00179,27.701.560,Gonzalo Benitez, gonzalo.benitez.81@hotmail.com ,06/09/2025,Consulta,
T00180,,JUAN ROJAS,JUAN.ROJAS.28@GMAIL.COM,09-11-25,Consulta,5
T00181,27693916,Leandro Molina,LEANDRO.MOLINA.35@EMPRESA.COM.AR,2026-02-02,Cambio,1
T00182, 27693916 ,Leandro Molina, leandro.molina.35@empresa.com.ar ,2025-07-08,Consulta,4
T00183,46-599-673,Valentina Molina,valentina.molina.95@empresa.com.ar,02-10-25,Entrega,
T00184,,Valentina Molina,VALENTINA.MOLINA.95@EMPRESA.COM.AR,24-10-25,Facturacion,4
T00185,43.596.797,LAURA SUAREZ,LAURA.SUAREZ.65@GMAIL.COM,12-06-26,Garantia,
T00186,,LAURA SUAREZ,LAURA.SUAREZ.65@GMAIL.COM,30/10/2025,Garantia,3
T00187, 43596797 ,Laura Suarez,LAURA.SUAREZ.65@GMAIL.COM,24-05-26,Cambio,1
T00188,33460248,Diego Lopez,diegolopez3@hotmail.com,2025-12-15,Garantia,5
T00189,33.460.248,Diego López,diego.lopez.3@hotmail.com,14-05-26,Cambio,3
T00190,33-460-248,Diego Lopez,,07/05/2025,Entrega,1
T00191,27.567.436,Juan Tomas Molina,JUAN.TOMAS.MOLINA.71@EMPRESA.COM.AR,29-04-25,Consulta,
T00192, 27567436 ,Juan Tomas Molina, juan.tomas.molina.71@empresa.com.ar ,01/04/2025,Entrega,3
T00193,28-862-863,Carlos Gonzalo Navarro,carlos.gonzalo.navarro.64@outlook.com,2025-06-01,Facturacion,2
T00194,30-030-701,Camila Suárez,camila.suarez.23@hotmail.com,28-12-25,Facturacion,1
T00195, 45047988 ,VALENTINA CARLOS SANCHEZ,VALENTINA.CARLOS.SANCHEZ.23@EMPRESA.COM.AR,2025-09-13,Entrega,3
T00196,45-047-988,Valentina Carlos Sánchez, valentina.carlos.sanchez.23@empresa.com.ar ,19-03-26,Cambio,N/A
T00197,,Nicolas Fernandez, nicolas.franco.fernandez.26@outlook.com ,24-05-26,Entrega,2
T00198,48.154.472,Martin Gomez,martin.gomez.24@outlook.com,2025-01-19,Garantia,5
T00199, 48154472 ,Martin Gomez,MARTIN.GOMEZ.24@OUTLOOK.COM,2026-05-21,Entrega,
T00200, 45632544 ,Sebastian Martinez,sebastian.martinez.14@hotmail.com,03-06-26,Entrega,1
T00201,,PAULA BENITEZ,PAULA.BENITEZ.69@OUTLOOK.COM,19/05/2026,Cambio,2
T00202,24.928.771,Paula Benitez,PAULA.BENITEZ.69@OUTLOOK.COM,2025-06-25,Consulta,1
T00203,24-928-771,Paula Benítez, paula.benitez.69@outlook.com ,02/05/2025,Garantia,N/A
T00204,25.502.931,Matias R. Diaz,MATIAS.ROCIO.DIAZ.24@GMAIL.COM,11-10-25,Facturacion,2
T00205,25502931,Matias Diaz,MATIAS.ROCIO.DIAZ.24@GMAIL.COM,18-04-25,Garantia,2
T00206,25-502-931,Matias Rocio Diaz,MATIAS.ROCIO.DIAZ.24@GMAIL.COM,19/12/2025,Consulta,5
T00207,26-689-522,Diego Medina, diego.medina.1@gmail.com ,2026-06-30,Facturacion,4
T00208,,Diego Medina,DIEGO.MEDINA.1@GMAIL.COM,20/03/2025,Entrega,1
T00209,,Diego Medina,diego.medina.1@gmail.com,15-05-26,Garantia,N/A
T00210,,SEBASTIAN MOLINA, sebastian.molina.5@gmail.com ,2026-07-25,Garantia,1
T00211,31-982-751,Sebastian Molina,sebastian.molina.5@gmail.com,20-07-25,Entrega,1
T00212,31-982-751,Sebastián Molina,SEBASTIAN.MOLINA.5@GMAIL.COM,2025-03-18,Entrega,5
T00213,22-496-371,Juan Martinez,JUAN.MARTINEZ.52@HOTMAIL.COM,06/02/2026,Consulta,5
T00214,22.496.371,Juan Martinez,juan.martinez.52@hotmail.com,2026-03-06,Facturacion,4
T00215,49.976.237,Matias Medina,matiasmedina10@outlook.com,2025-04-18,Garantia,N/A
T00216,49-976-237,MATIAS MEDINA, matias.medina.10@outlook.com ,2026-02-07,Garantia,N/A
T00217,49-976-237,MATIAS MEDINA,matias.medina.10@outlook.com,2025-09-05,Consulta,N/A
T00218,47-195-016,Rocío Martínez,rocio.martinez.92@empresa.com.ar,23/09/2025,Entrega,5
T00219,47195016,Rocío Martínez,ROCIO.MARTINEZ.92@EMPRESA.COM.AR,24-05-26,Consulta,
T00220,41-509-921,Joaquín Navarro,VALENTINA.RAMIREZ.7@GMAIL.COM,08/07/2026,Entrega,5
T00221,48103049,Sofia Lopez,,20/07/2026,Entrega,2
T00222,40542522,Tomas Silva,,09-03-25,Facturacion,N/A
T00223, 40542522 ,Tomas Silva,TOMAS.SILVA.81@EMPRESA.COM.AR,17/01/2026,Cambio,N/A
T00224,21005720,Carolina Rodriguez,CAROLINA.RODRIGUEZ.40@EMPRESA.COM.AR,2026-01-26,Garantia,
T00225,,Gonzalo Alvarez, gonzalo.alvarez.47@outlook.com ,04-02-25,Cambio,4
T00226,45-613-818,Gonzalo Álvarez,gonzalo.alvarez.47@outlook.com,29-07-25,Garantia,N/A
T00227,45.613.818,Gonzalo Alvarez,,02-08-25,Cambio,4
T00228,29830399,Florencia Navarro,FLORENCIA.NAVARRO.60@OUTLOOK.COM,15-03-25,Garantia,
T00229, 29830399 ,Florencia Navarro,FLORENCIA.NAVARRO.60@OUTLOOK.COM,2026-03-14,Facturacion,1
T00230,29.830.399,Florencia Navarro, florencia.navarro.60@outlook.com ,18-05-26,Entrega,3
T00231, 36685733 ,JULIETA ROMERO,julieta.romero.61@gmail.com,2026-06-17,Cambio,2
T00232,37.167.854,Pablo Rojas,PABLO.ROJAS.78@EMPRESA.COM.AR,2026-05-09,Garantia,
T00233,37.167.854,Pablo Rojas,pablo.rojas.78@empresa.com.ar,08/06/2026,Facturacion,1
T00234,,Pablo Rojas, pablo.rojas.78@empresa.com.ar ,13/11/2025,Entrega,
T00235,28986343,Camila Natalia Benitez,CAMILA.NATALIA.BENITEZ.5@HOTMAIL.COM,06/05/2026,Entrega,2
T00236, 28986343 ,Camila Natalia Benitez, camila.natalia.benitez.5@hotmail.com ,09-02-26,Facturacion,5
T00237,28986343,CAMILA NATALIA BENITEZ,camila.natalia.benitez.5@hotmail.com,2025-01-30,Consulta,1
T00238, 31483836 ,Leandro Ortiz,,14/09/2025,Entrega,2
T00239,,Leandro Ortiz,,21/03/2025,Entrega,
T00240, 31483836 ,Leandro Ortiz,leandro.ortiz.34@hotmail.com,05-11-25,Garantia,
T00241,29261852,Paula Castro, paula.castro.45@gmail.com ,05/08/2026,Cambio,5
T00242,,Juan Alvarez,juan.alvarez.26@outlook.com,21/01/2026,Consulta,1
T00243, 45089737 ,Juan Alvarez,,10-07-25,Consulta,
T00244,45.089.737,Juan Alvarez,,03-05-25,Cambio,
T00245,37.193.730,Juan Franco Silva,juan.franco.silva.55@hotmail.com,04/01/2026,Cambio,5
T00246, 37193730 ,Juan Franco Silva,JUAN.FRANCO.SILVA.55@HOTMAIL.COM,2025-05-16,Facturacion,4
T00247,37-193-730,Juan Silva,JUAN.FRANCO.SILVA.55@HOTMAIL.COM,27/11/2025,Garantia,1
T00248,33.987.802,Joaquin Carlos Ortiz,,2025-08-23,Facturacion,3
T00249,31.017.940,Paula Sebastián Silva,PAULA.SEBASTIAN.SILVA.25@EMPRESA.COM.AR,09-05-25,Cambio,5
T00250,25.071.951,FRANCO SILVA,franco.silva.32@hotmail.com,27/07/2026,Entrega,
T00251,,FRANCO SILVA, franco.silva.32@hotmail.com ,2025-03-04,Consulta,1
T00252,32760352,Rocio Diaz,rocio.diaz.20@outlook.com,25-02-26,Cambio,
T00253,32-760-352,Rocío Díaz, rocio.diaz.20@outlook.com ,2025-07-08,Consulta,
T00254, 32760352 ,ROCIO DIAZ,rocio.diaz.20@outlook.com,06/05/2026,Facturacion,5
T00255, 33849345 ,Rocio Pablo Diaz, rocio.pablo.diaz.67@hotmail.com ,28-03-26,Facturacion,3
T00256,33849345,ROCIO PABLO DIAZ,ROCIO.PABLO.DIAZ.67@HOTMAIL.COM,15-12-25,Entrega,N/A
T00257,33849345,Rocío Pablo Díaz,ROCIO.PABLO.DIAZ.67@HOTMAIL.COM,2026-02-03,Garantia,5
T00258,22-370-563,Martin Alvarez,MARTIN.ALVAREZ.17@EMPRESA.COM.AR,17-01-26,Cambio,4
T00259,22.370.563,Martin Alvarez,martin.alvarez.17@empresa.com.ar,20-12-25,Consulta,
T00260,28373534,Carolina Ruiz,carolina.ruiz.54@gmail.com,2025-07-29,Facturacion,5
T00261,28-373-534,Carolina Ruiz,CAROLINA.RUIZ.54@GMAIL.COM,29-10-25,Cambio,5
T00262,28-608-529,Micaela Suarez,micaela.suarez.48@empresa.com.ar,2025-06-03,Entrega,3
T00263,44413276,Paula Ortiz,paula.ortiz.63@gmail.com,27/05/2026,Cambio,1
T00264, 28876929 ,Juan Castro,,08/01/2026,Consulta,
T00265,,Laura Acosta,LAURA.ACOSTA.48@EMPRESA.COM.AR,19/01/2025,Facturacion,N/A
T00266, 24204533 ,Laura Acosta,LAURA.ACOSTA.48@EMPRESA.COM.AR,25/01/2026,Cambio,2
T00267,24-204-533,LAURA ACOSTA, laura.acosta.48@empresa.com.ar ,21-09-25,Garantia,2
